Nu,solvent,sN,N,ε,q,MW,eHOMO,eUMO,NBO,MK,Polar,e+HOMO,e+LUMO,%VH,L,B1,B5,EPA,SNu,SInt,SH,μ,η,μ+
CC23,DCM,1.4,-1.0,8.93,0,84.16,-0.27638,0.06565,-0.004,0.19,74.1783,-0.57701,-0.25806,42.9,3.86,2.94,4.59,-202.44,-4.43,-56.26,-122.52,-0.105365,0.34203,-0.417535
CC24,DCM,0.9,1.65,8.93,0,68.12,-0.30312,0.04385,-0.413,-0.668,57.441,-0.59796,-0.21504,26.2,4.8,1.71,4.67,-204.98,-4.43,-59.56,-122.52,-0.129635,0.34697,-0.4065
CC25,DCM,0.9,2.82,8.93,0,82.15,-0.29752,0.04355,-0.407,-0.66,67.8697,-0.56836,-0.25977,26.8,4.51,1.7,5.76,-204.55,-4.9,-58.11,-122.52,-0.126985,0.34107,-0.414065
CC26,DCM,1.1,-1.55,8.93,0,68.12,-0.29605,0.05764,-0.192,-0.245,55.2893,-0.58041,-0.2802,32.7,3.86,1.95,4.48,-187.68,-4.62,-61.28,-122.52,-0.119205,0.35369,-0.430305
CC27,DCM,1.17,1.18,8.93,0,82.15,-0.28454,0.06319,-0.201,-0.352,68.1623,-0.56836,-0.25978,35.9,3.95,1.96,4.64,-201.25,-4.95,-58.11,-122.52,-0.110675,0.34773,-0.41407
CC28,DCM,1.15,0.08,8.93,0,97.17,-0.28612,0.05657,-0.197,-0.368,79.608,-0.54698,-0.25568,38.1,4.27,2.04,5.05,-201.24,-5.51,-57.45,-122.52,-0.114775,0.34269,-0.40133
CC29,DCM,1.0,-0.87,8.93,0,54.09,-0.29253,0.00243,-0.364,-0.452,51.4793,-0.59012,-0.30914,22.2,4.67,1.7,5.09,-193.3,-3.61,-58.92,-122.52,-0.14505,0.29496,-0.44963
CC30,DCM,1.0,1.49,8.93,0,68.12,-0.27942,0.0111,-0.378,-0.417,65.7103,-0.55746,-0.28455,22.1,5.64,1.71,6.48,-205.46,-4.68,-56.2,-122.52,-0.13416,0.29052,-0.421005
CC31,DCM,1.1,1.17,8.93,0,82.15,-0.26779,0.01939,-0.159,0.056,80.2917,-0.54046,-0.27829,31.6,3.51,2.09,6.83,-200.48,-5.66,-55.5,-122.52,-0.1242,0.28718,-0.409375
CC32,DCM,1.0,3.09,8.93,0,82.15,-0.27711,0.01262,-0.374,-0.564,76.6517,-0.53784,-0.27072,27.0,4.7,1.7,6.75,-211.61,-5.0,-54.35,-122.52,-0.132245,0.28973,-0.40428
CC33,DCM,1.0,0.66,8.93,0,68.12,-0.28016,0.00835,-0.367,-0.556,64.7003,-0.55654,-0.28937,22.2,4.66,1.7,6.32,-203.62,-4.73,-56.56,-122.52,-0.135905,0.28851,-0.422955
